Teams,Overall Win Rate,Home Win Rate,Away Win Rate
Arsenal,28.1%,43.8%,12.5%
Aston Villa,36.4%,43.8%,29.4%
Bournemouth,15.6%,17.6%,13.3%
Brentford,9.1%,17.6%,0.0%
Brighton,28.1%,40.0%,17.6%
Burnley,6.1%,5.9%,6.3%
Chelsea,26.7%,26.7%,26.7%
Crystal Palace,9.4%,20.0%,0.0%
Everton,6.5%,0.0%,12.5%
Fulham,15.2%,25.0%,5.9%
Liverpool,40.6%,52.9%,26.7%
Luton,12.1%,12.5%,11.8%
Man City,43.8%,41.2%,46.7%
Man United,25.0%,26.7%,23.5%
Newcastle,15.6%,17.6%,13.3%
Nott'm Forest,12.1%,17.6%,6.3%
Sheffield United,6.3%,6.3%,6.3%
Tottenham,37.5%,62.5%,12.5%
West Ham,27.3%,17.6%,37.5%
Wolves,25.0%,26.7%,23.5%
